intervalSize      & Ep2_errorFun    & Ep4_errorFun    & Ep6_errorFun    & Ep8_errorFun        
3.108434e+00      & 1.350950e+01    & 6.389517e+00    & 4.729098e+01    & 4.760743e+01       
3.156627e+00      & 1.437793e+01    & 7.715786e+00    & 5.629899e+01    & 6.448834e+01       
3.204819e+00      & 1.529123e+01    & 9.276634e+00    & 6.695459e+01    & 8.644990e+01       
3.253012e+00      & 1.625119e+01    & 1.109934e+01    & 7.954181e+01    & 1.148396e+02       
3.301205e+00      & 1.725969e+01    & 1.321441e+01    & 9.438983e+01    & 1.513272e+02       
3.349398e+00      & 1.831862e+01    & 1.565575e+01    & 1.118795e+02    & 1.979743e+02       
3.397590e+00      & 1.942995e+01    & 1.846091e+01    & 1.324507e+02    & 2.573178e+02       
3.445783e+00      & 2.059571e+01    & 2.167129e+01    & 1.566105e+02    & 3.324690e+02       
3.493976e+00      & 2.181798e+01    & 2.533239e+01    & 1.849427e+02    & 4.272325e+02       
3.542169e+00      & 2.309890e+01    & 2.949415e+01    & 2.181177e+02    & 5.462465e+02       
3.590361e+00      & 2.444067e+01    & 3.421119e+01    & 2.569048e+02    & 6.951494e+02       
3.638554e+00      & 2.584554e+01    & 3.954318e+01    & 3.021851e+02    & 8.807763e+02       
3.686747e+00      & 2.731585e+01    & 4.555519e+01    & 3.549656e+02    & 1.111391e+03       
3.734940e+00      & 2.885399e+01    & 5.231808e+01    & 4.163963e+02    & 1.396961e+03       
3.783133e+00      & 3.046239e+01    & 5.990890e+01    & 4.877876e+02    & 1.749473e+03       
3.831325e+00      & 3.214358e+01    & 6.841134e+01    & 5.706312e+02    & 2.183314e+03       
3.879518e+00      & 3.390015e+01    & 7.791616e+01    & 6.666220e+02    & 2.715707e+03       
3.927711e+00      & 3.573475e+01    & 8.852169e+01    & 7.776834e+02    & 3.367226e+03       
3.975904e+00      & 3.765009e+01    & 1.003344e+02    & 9.059946e+02    & 4.162391e+03       
4.024096e+00      & 3.964897e+01    & 1.134693e+02    & 1.054022e+03    & 5.130361e+03       
4.072289e+00      & 4.173425e+01    & 1.280507e+02    & 1.224551e+03    & 6.305745e+03       
4.120482e+00      & 4.390888e+01    & 1.442127e+02    & 1.420728e+03    & 7.729529e+03       
4.168675e+00      & 4.617585e+01    & 1.620998e+02    & 1.646095e+03    & 9.450161e+03       
4.216867e+00      & 4.853826e+01    & 1.818678e+02    & 1.904640e+03    & 1.152479e+04       
4.265060e+00      & 5.099926e+01    & 2.036840e+02    & 2.200848e+03    & 1.402073e+04       
4.313253e+00      & 5.356210e+01    & 2.277288e+02    & 2.539751e+03    & 1.701705e+04       
4.361446e+00      & 5.623009e+01    & 2.541954e+02    & 2.926994e+03    & 2.060657e+04       
4.409639e+00      & 5.900663e+01    & 2.832917e+02    & 3.368896e+03    & 2.489795e+04       
4.457831e+00      & 6.189521e+01    & 3.152402e+02    & 3.872528e+03    & 3.001825e+04       
4.506024e+00      & 6.489938e+01    & 3.502797e+02    & 4.445792e+03    & 3.611577e+04       
4.554217e+00      & 6.802278e+01    & 3.886657e+02    & 5.097505e+03    & 4.336330e+04       
4.602410e+00      & 7.126916e+01    & 4.306718e+02    & 5.837497e+03    & 5.196188e+04       
4.650602e+00      & 7.464233e+01    & 4.765904e+02    & 6.676717e+03    & 6.214502e+04       
4.698795e+00      & 7.814620e+01    & 5.267340e+02    & 7.627344e+03    & 7.418353e+04       
4.746988e+00      & 8.178475e+01    & 5.814363e+02    & 8.702913e+03    & 8.839103e+04       
4.795181e+00      & 8.556208e+01    & 6.410534e+02    & 9.918450e+03    & 1.051302e+05       
4.843373e+00      & 8.948236e+01    & 7.059650e+02    & 1.129062e+04    & 1.248196e+05       
4.891566e+00      & 9.354986e+01    & 7.765759e+02    & 1.283788e+04    & 1.479423e+05       
4.939759e+00      & 9.776895e+01    & 8.533170e+02    & 1.458068e+04    & 1.750539e+05       
4.987952e+00      & 1.021441e+02    & 9.366471e+02    & 1.654161e+04    & 2.067939e+05       
5.036145e+00      & 1.066798e+02    & 1.027054e+03    & 1.874564e+04    & 2.438961e+05       
5.084337e+00      & 1.113808e+02    & 1.125057e+03    & 2.122032e+04    & 2.872024e+05       
5.132530e+00      & 1.162518e+02    & 1.231208e+03    & 2.399606e+04    & 3.376771e+05       
5.180723e+00      & 1.212977e+02    & 1.346090e+03    & 2.710633e+04    & 3.964229e+05       
5.228916e+00      & 1.265234e+02    & 1.470327e+03    & 3.058799e+04    & 4.647002e+05       
5.277108e+00      & 1.319340e+02    & 1.604577e+03    & 3.448159e+04    & 5.439469e+05       
5.325301e+00      & 1.375346e+02    & 1.749538e+03    & 3.883168e+04    & 6.358021e+05       
5.373494e+00      & 1.433306e+02    & 1.905951e+03    & 4.368720e+04    & 7.421317e+05       
5.421687e+00      & 1.493273e+02    & 2.074601e+03    & 4.910181e+04    & 8.650577e+05       
5.469880e+00      & 1.555302e+02    & 2.256316e+03    & 5.513437e+04    & 1.006990e+06       
5.518072e+00      & 1.619450e+02    & 2.451976e+03    & 6.184934e+04    & 1.170664e+06       
5.566265e+00      & 1.685772e+02    & 2.662509e+03    & 6.931729e+04    & 1.359178e+06       
5.614458e+00      & 1.754328e+02    & 2.888897e+03    & 7.761539e+04    & 1.576042e+06       
5.662651e+00      & 1.825177e+02    & 3.132176e+03    & 8.682801e+04    & 1.825225e+06       
5.710843e+00      & 1.898380e+02    & 3.393442e+03    & 9.704725e+04    & 2.111210e+06       
5.759036e+00      & 1.973998e+02    & 3.673851e+03    & 1.083737e+05    & 2.439059e+06       
5.807229e+00      & 2.052094e+02    & 3.974623e+03    & 1.209169e+05    & 2.814479e+06       
5.855422e+00      & 2.132733e+02    & 4.297043e+03    & 1.347964e+05    & 3.243898e+06       
5.903614e+00      & 2.215980e+02    & 4.642468e+03    & 1.501424e+05    & 3.734550e+06       
5.951807e+00      & 2.301902e+02    & 5.012327e+03    & 1.670965e+05    & 4.294568e+06       
6.000000e+00      & 2.390566e+02    & 5.408123e+03    & 1.858126e+05    & 4.933090e+06       
