intervalSize      & Ep2_errorFun_full    & Ep4_errorFun_full    & Ep6_errorFun_full    & Ep8_errorFun_full    & Ep2_errorFun_QB    & Ep4_errorFun_QB    & Ep6_errorFun_QB    & Ep8_errorFun_QB    & Ep2_errorFun_Q    & Ep4_errorFun_Q    & Ep6_errorFun_Q    & Ep8_errorFun_Q        
4.409639e+00      & 1.024491e+00         & 1.718779e+00         & 3.289407e+00         & 6.197258e+00         & 1.024491e+00       & 7.691626e-01       & 8.630808e-01       & 8.691526e-01       & 1.024491e+00      & 1.738094e+00      & 1.676408e+00      & 1.661771e+00     
4.457831e+00      & 1.050041e+00         & 1.797795e+00         & 3.516707e+00         & 6.774003e+00         & 1.050041e+00       & 7.876408e-01       & 8.869344e-01       & 8.937438e-01       & 1.050041e+00      & 1.789243e+00      & 1.724739e+00      & 1.708711e+00     
4.506024e+00      & 1.075863e+00         & 1.879370e+00         & 3.756630e+00         & 7.396552e+00         & 1.075863e+00       & 8.062773e-01       & 9.111799e-01       & 9.188217e-01       & 1.075863e+00      & 1.841258e+00      & 1.773847e+00      & 1.756315e+00     
4.554217e+00      & 1.101953e+00         & 1.963553e+00         & 4.009707e+00         & 8.067928e+00         & 1.101953e+00       & 8.250707e-01       & 9.358225e-01       & 9.444029e-01       & 1.101953e+00      & 1.894143e+00      & 1.823732e+00      & 1.804577e+00     
4.602410e+00      & 1.128311e+00         & 2.050390e+00         & 4.276486e+00         & 8.791313e+00         & 1.128311e+00       & 8.440198e-01       & 9.608678e-01       & 9.705059e-01       & 1.128311e+00      & 1.947901e+00      & 1.874399e+00      & 1.853494e+00     
4.650602e+00      & 1.154934e+00         & 2.139931e+00         & 4.557530e+00         & 9.570055e+00         & 1.154934e+00       & 8.631235e-01       & 9.863214e-01       & 9.971504e-01       & 1.154934e+00      & 2.002537e+00      & 1.925850e+00      & 1.903059e+00     
4.698795e+00      & 1.181820e+00         & 2.232224e+00         & 4.853418e+00         & 1.040768e+01         & 1.181820e+00       & 8.823809e-01       & 1.012189e+00       & 1.024358e+00       & 1.181820e+00      & 2.058054e+00      & 1.978087e+00      & 1.953266e+00     
4.746988e+00      & 1.208967e+00         & 2.327316e+00         & 5.164745e+00         & 1.130787e+01         & 1.208967e+00       & 9.017912e-01       & 1.038477e+00       & 1.052151e+00       & 1.208967e+00      & 2.114457e+00      & 2.031115e+00      & 2.004110e+00     
4.795181e+00      & 1.236373e+00         & 2.425259e+00         & 5.492124e+00         & 1.227454e+01         & 1.236373e+00       & 9.213537e-01       & 1.065191e+00       & 1.080556e+00       & 1.236373e+00      & 2.171750e+00      & 2.084935e+00      & 2.055584e+00     
4.843373e+00      & 1.264037e+00         & 2.526099e+00         & 5.836181e+00         & 1.331174e+01         & 1.264037e+00       & 9.410680e-01       & 1.092338e+00       & 1.109599e+00       & 1.264037e+00      & 2.229936e+00      & 2.139551e+00      & 2.107681e+00     
4.891566e+00      & 1.291956e+00         & 2.629887e+00         & 6.197564e+00         & 1.442377e+01         & 1.291956e+00       & 9.609337e-01       & 1.119924e+00       & 1.139309e+00       & 1.291956e+00      & 2.289020e+00      & 2.194967e+00      & 2.160394e+00     
4.939759e+00      & 1.320129e+00         & 2.736672e+00         & 6.576934e+00         & 1.561512e+01         & 1.320129e+00       & 9.809507e-01       & 1.147956e+00       & 1.169718e+00       & 1.320129e+00      & 2.349006e+00      & 2.251185e+00      & 2.213715e+00     
4.987952e+00      & 1.348553e+00         & 2.846505e+00         & 6.974971e+00         & 1.689048e+01         & 1.348553e+00       & 1.001119e+00       & 1.176442e+00       & 1.200861e+00       & 1.348553e+00      & 2.409898e+00      & 2.308209e+00      & 2.267635e+00     
5.036145e+00      & 1.377226e+00         & 2.959434e+00         & 7.392374e+00         & 1.825479e+01         & 1.377226e+00       & 1.021438e+00       & 1.205387e+00       & 1.232773e+00       & 1.377226e+00      & 2.471700e+00      & 2.366042e+00      & 2.322147e+00     
5.084337e+00      & 1.406147e+00         & 3.075510e+00         & 7.829859e+00         & 1.971320e+01         & 1.406147e+00       & 1.041910e+00       & 1.234801e+00       & 1.265495e+00       & 1.406147e+00      & 2.534416e+00      & 2.424687e+00      & 2.377240e+00     
5.132530e+00      & 1.435315e+00         & 3.194783e+00         & 8.288159e+00         & 2.127112e+01         & 1.435315e+00       & 1.062533e+00       & 1.264689e+00       & 1.299067e+00       & 1.435315e+00      & 2.598049e+00      & 2.484149e+00      & 2.432905e+00     
5.180723e+00      & 1.464726e+00         & 3.317304e+00         & 8.768027e+00         & 2.293419e+01         & 1.464726e+00       & 1.083309e+00       & 1.295060e+00       & 1.333537e+00       & 1.464726e+00      & 2.662606e+00      & 2.544431e+00      & 2.489133e+00     
5.228916e+00      & 1.494380e+00         & 3.443124e+00         & 9.270236e+00         & 2.470832e+01         & 1.494380e+00       & 1.104239e+00       & 1.325923e+00       & 1.368953e+00       & 1.494380e+00      & 2.728088e+00      & 2.605537e+00      & 2.545913e+00     
5.277108e+00      & 1.524274e+00         & 3.572294e+00         & 9.795575e+00         & 2.659968e+01         & 1.524274e+00       & 1.125324e+00       & 1.357284e+00       & 1.405367e+00       & 1.524274e+00      & 2.794502e+00      & 2.667471e+00      & 2.603233e+00     
5.325301e+00      & 1.554407e+00         & 3.704864e+00         & 1.034485e+01         & 2.861472e+01         & 1.554407e+00       & 1.146565e+00       & 1.389153e+00       & 1.442834e+00       & 1.554407e+00      & 2.861850e+00      & 2.730236e+00      & 2.661082e+00     
5.373494e+00      & 1.584777e+00         & 3.840887e+00         & 1.091891e+01         & 3.076017e+01         & 1.584777e+00       & 1.167963e+00       & 1.421538e+00       & 1.481416e+00       & 1.584777e+00      & 2.930136e+00      & 2.793838e+00      & 2.719449e+00     
5.421687e+00      & 1.615382e+00         & 3.980414e+00         & 1.151858e+01         & 3.304306e+01         & 1.615382e+00       & 1.189520e+00       & 1.454448e+00       & 1.521175e+00       & 1.615382e+00      & 2.999366e+00      & 2.858280e+00      & 2.778319e+00     
5.469880e+00      & 1.646221e+00         & 4.123497e+00         & 1.214474e+01         & 3.547071e+01         & 1.646221e+00       & 1.211238e+00       & 1.487891e+00       & 1.562179e+00       & 1.646221e+00      & 3.069544e+00      & 2.923566e+00      & 2.837682e+00     
5.518072e+00      & 1.677291e+00         & 4.270187e+00         & 1.279828e+01         & 3.805077e+01         & 1.677291e+00       & 1.233119e+00       & 1.521877e+00       & 1.604502e+00       & 1.677291e+00      & 3.140672e+00      & 2.989702e+00      & 2.897521e+00     
5.566265e+00      & 1.708592e+00         & 4.420538e+00         & 1.348011e+01         & 4.079121e+01         & 1.708592e+00       & 1.255165e+00       & 1.556416e+00       & 1.648219e+00       & 1.708592e+00      & 3.212757e+00      & 3.056691e+00      & 2.957824e+00     
5.614458e+00      & 1.740122e+00         & 4.574600e+00         & 1.419116e+01         & 4.370033e+01         & 1.740122e+00       & 1.277378e+00       & 1.591516e+00       & 1.693413e+00       & 1.740122e+00      & 3.285802e+00      & 3.124540e+00      & 3.018576e+00     
5.662651e+00      & 1.771879e+00         & 4.732428e+00         & 1.493240e+01         & 4.678677e+01         & 1.771879e+00       & 1.299761e+00       & 1.627188e+00       & 1.740170e+00       & 1.771879e+00      & 3.359811e+00      & 3.193252e+00      & 3.079761e+00     
5.710843e+00      & 1.803861e+00         & 4.894074e+00         & 1.570478e+01         & 5.005955e+01         & 1.803861e+00       & 1.322317e+00       & 1.663442e+00       & 1.788582e+00       & 1.803861e+00      & 3.434788e+00      & 3.262833e+00      & 3.141363e+00     
5.759036e+00      & 1.836067e+00         & 5.059591e+00         & 1.650931e+01         & 5.352802e+01         & 1.836067e+00       & 1.345049e+00       & 1.700287e+00       & 1.838745e+00       & 1.836067e+00      & 3.510738e+00      & 3.333288e+00      & 3.203367e+00     
5.807229e+00      & 1.868495e+00         & 5.229032e+00         & 1.734701e+01         & 5.720196e+01         & 1.868495e+00       & 1.367960e+00       & 1.737735e+00       & 1.890763e+00       & 1.868495e+00      & 3.587666e+00      & 3.404623e+00      & 3.265754e+00     
5.855422e+00      & 1.901144e+00         & 5.402450e+00         & 1.821891e+01         & 6.109148e+01         & 1.901144e+00       & 1.391054e+00       & 1.775796e+00       & 1.944743e+00       & 1.901144e+00      & 3.665575e+00      & 3.476842e+00      & 3.328508e+00     
5.903614e+00      & 1.934012e+00         & 5.579899e+00         & 1.912609e+01         & 6.520715e+01         & 1.934012e+00       & 1.414335e+00       & 1.814480e+00       & 2.000798e+00       & 1.934012e+00      & 3.744470e+00      & 3.549953e+00      & 3.391610e+00     
5.951807e+00      & 1.967098e+00         & 5.761434e+00         & 2.006963e+01         & 6.955991e+01         & 1.967098e+00       & 1.437805e+00       & 1.853800e+00       & 2.059047e+00       & 1.967098e+00      & 3.824355e+00      & 3.623961e+00      & 3.455042e+00     
6.000000e+00      & 2.000400e+00         & 5.947107e+00         & 2.105064e+01         & 7.416116e+01         & 2.000400e+00       & 1.461470e+00       & 1.893766e+00       & 2.119617e+00       & 2.000400e+00      & 3.905235e+00      & 3.698871e+00      & 3.518784e+00     
